date,trend_score,park
2013-03-01,54.0,Big Bend National Park
2013-04-01,41.0,Big Bend National Park
2013-05-01,45.0,Big Bend National Park
2013-06-01,37.0,Big Bend National Park
2013-07-01,35.0,Big Bend National Park
2013-08-01,36.0,Big Bend National Park
2013-09-01,38.0,Big Bend National Park
2013-10-01,40.0,Big Bend National Park
2013-11-01,40.0,Big Bend National Park
2013-12-01,41.0,Big Bend National Park
2014-01-01,45.0,Big Bend National Park
2014-02-01,47.0,Big Bend National Park
2014-03-01,58.0,Big Bend National Park
2014-04-01,44.0,Big Bend National Park
2014-05-01,46.0,Big Bend National Park
2014-06-01,37.0,Big Bend National Park
2014-07-01,37.0,Big Bend National Park
2014-08-01,39.0,Big Bend National Park
2014-09-01,40.0,Big Bend National Park
2014-10-01,40.0,Big Bend National Park
2014-11-01,44.0,Big Bend National Park
2014-12-01,48.0,Big Bend National Park
2015-01-01,66.0,Big Bend National Park
2015-02-01,65.0,Big Bend National Park
2015-03-01,71.0,Big Bend National Park
2015-04-01,56.0,Big Bend National Park
2015-05-01,59.0,Big Bend National Park
2015-06-01,45.0,Big Bend National Park
2015-07-01,47.0,Big Bend National Park
2015-08-01,43.0,Big Bend National Park
2015-09-01,47.0,Big Bend National Park
2015-10-01,44.0,Big Bend National Park
2015-11-01,48.0,Big Bend National Park
2015-12-01,53.0,Big Bend National Park
2016-01-01,56.0,Big Bend National Park
2016-02-01,64.0,Big Bend National Park
2016-03-01,69.0,Big Bend National Park
2016-04-01,58.0,Big Bend National Park
2016-05-01,56.0,Big Bend National Park
2016-06-01,49.0,Big Bend National Park
2016-07-01,45.0,Big Bend National Park
2016-08-01,47.0,Big Bend National Park
2016-09-01,48.0,Big Bend National Park
2016-10-01,47.0,Big Bend National Park
2016-11-01,56.0,Big Bend National Park
2016-12-01,57.0,Big Bend National Park
2017-01-01,71.0,Big Bend National Park
2017-02-01,67.0,Big Bend National Park
2017-03-01,87.0,Big Bend National Park
2017-04-01,56.0,Big Bend National Park
2017-05-01,58.0,Big Bend National Park
2017-06-01,52.0,Big Bend National Park
2017-07-01,47.0,Big Bend National Park
2017-08-01,39.0,Big Bend National Park
2017-09-01,42.0,Big Bend National Park
2017-10-01,49.0,Big Bend National Park
2017-11-01,61.0,Big Bend National Park
2017-12-01,66.0,Big Bend National Park
2018-01-01,67.0,Big Bend National Park
2018-02-01,70.0,Big Bend National Park
2018-03-01,76.0,Big Bend National Park
2018-04-01,57.0,Big Bend National Park
2018-05-01,56.0,Big Bend National Park
2018-06-01,50.0,Big Bend National Park
2018-07-01,51.0,Big Bend National Park
2018-08-01,49.0,Big Bend National Park
2018-09-01,52.0,Big Bend National Park
2018-10-01,58.0,Big Bend National Park
2018-11-01,63.0,Big Bend National Park
2018-12-01,77.0,Big Bend National Park
2019-01-01,71.0,Big Bend National Park
2019-02-01,75.0,Big Bend National Park
2019-03-01,92.0,Big Bend National Park
2019-04-01,66.0,Big Bend National Park
2019-05-01,67.0,Big Bend National Park
2019-06-01,59.0,Big Bend National Park
2019-07-01,57.0,Big Bend National Park
2019-08-01,52.0,Big Bend National Park
2019-09-01,57.0,Big Bend National Park
2019-10-01,63.0,Big Bend National Park
2019-11-01,66.0,Big Bend National Park
2019-12-01,72.0,Big Bend National Park
2020-01-01,77.0,Big Bend National Park
2020-02-01,72.0,Big Bend National Park
2020-03-01,77.0,Big Bend National Park
2020-04-01,47.0,Big Bend National Park
2020-05-01,79.0,Big Bend National Park
2020-06-01,75.0,Big Bend National Park
2020-07-01,68.0,Big Bend National Park
2020-08-01,65.0,Big Bend National Park
2020-09-01,79.0,Big Bend National Park
2020-10-01,82.0,Big Bend National Park
2020-11-01,74.0,Big Bend National Park
2020-12-01,87.0,Big Bend National Park
2021-01-01,84.0,Big Bend National Park
2021-02-01,100.0,Big Bend National Park
2021-03-01,87.0,Big Bend National Park
2021-04-01,79.0,Big Bend National Park
2021-05-01,74.0,Big Bend National Park
2021-06-01,68.0,Big Bend National Park
2021-07-01,65.0,Big Bend National Park
2021-08-01,58.0,Big Bend National Park
2021-09-01,61.0,Big Bend National Park
2021-10-01,61.0,Big Bend National Park
2021-11-01,66.0,Big Bend National Park
2021-12-01,71.0,Big Bend National Park
2022-01-01,95.0,Big Bend National Park
2022-02-01,85.0,Big Bend National Park
2022-03-01,85.0,Big Bend National Park
2022-04-01,70.0,Big Bend National Park
2022-05-01,74.0,Big Bend National Park
2022-06-01,59.0,Big Bend National Park
2022-07-01,58.0,Big Bend National Park
2022-08-01,59.0,Big Bend National Park
2022-09-01,75.0,Big Bend National Park
2022-10-01,69.0,Big Bend National Park
2022-11-01,69.0,Big Bend National Park
2022-12-01,68.0,Big Bend National Park
2023-01-01,83.0,Big Bend National Park
2023-02-01,81.0,Big Bend National Park
2023-03-01,86.0,Big Bend National Park
2023-04-01,66.0,Big Bend National Park
