ParkName,UnitCode,ParkType,Region,TrafficCounter,Year,Month,TrafficCount,ParkNameTotal,UnitCodeTotal,ParkTypeTotal,RegionType,TrafficCountTotalLabel,YearTotal,TrafficCountTotal
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2003,8,"64,981",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2003,"269,740"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2003,9,"40,582",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2003,"269,740"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2003,10,"29,234",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2003,"269,740"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2003,11,"5,957",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2003,"269,740"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2003,12,"2,695",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2003,"269,740"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2004,1,"2,542",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2004,"249,929"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2004,2,"2,821",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2004,"249,929"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2004,3,"3,875",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2004,"249,929"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2004,4,"7,260",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2004,"249,929"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2004,5,"14,973",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2004,"249,929"
